id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,icmp,tcp,udp,dhcp,dns,http,irc,ssl,OTH,RSTO,RSTR,S0,S1,S3,SF,SHR
55816,6667,35.130757,62,269,0,9,554,6.0,589.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
123,123,0.001988,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56062,6667,3.148456,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53184,6667,3.130946,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49054,6667,3.090486,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54494,6667,3.088484,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48275,443,123.033629,10345,17343,0,31,11605,29.0,18511.0,benign,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5353,5353,0.100984,412,0,0,2,468,0.0,0.0,benign,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
55760,6667,36.157377,62,269,0,9,554,6.0,589.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
143,0,0.914822,40,0,0,2,152,0.0,0.0,benign,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13571,53,0.010036,36,68,0,1,64,1.0,96.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
123,123,0.001497,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56012,6667,36.062184,62,269,0,9,554,6.0,589.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55713,53,0.0005,41,57,0,1,69,1.0,85.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
53126,6667,3.15068,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50609,53,0.0005,37,100,0,1,65,1.0,128.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
123,123,0.056965,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33457,53,0.013023,40,56,0,1,68,1.0,84.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
34137,53,0.000502,37,132,0,1,65,1.0,160.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
68,67,9.399944,7428,0,0,24,8100,0.0,0.0,benign,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
123,123,0.089692,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36086,53,5.005402,78,0,0,2,134,0.0,0.0,benign,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
58604,53,5.005641,78,0,0,2,134,0.0,0.0,benign,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
50838,6667,3.119473,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51766,123,0.11468,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52796,6667,3.083497,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33994,53,0.010488,40,104,0,1,68,1.0,132.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50986,6667,3.135465,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51939,53,0.0124,46,62,0,1,74,1.0,90.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
49636,6667,1.076386,75,243,0,7,447,6.0,563.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
68,67,59.834022,3000,0,0,10,3280,0.0,0.0,benign,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
49574,6667,3.155446,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54908,443,2.843592,2651,3769,0,14,3231,10.0,4177.0,benign,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
56514,53,0.205372,37,179,0,1,65,1.0,207.0,benign,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
53770,6667,3.114224,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47872,123,0.017238,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
123,123,0.015489,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52058,6667,4.095648,75,243,0,9,567,6.0,563.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55088,6667,3.087731,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,123,0.001498,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52716,6667,2.107298,75,243,0,8,507,6.0,563.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53174,6667,2.018588,60,124,0,6,388,4.0,328.0,malicious,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
49534,6667,1.101371,75,243,0,7,447,6.0,563.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50552,6667,3.132463,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51970,6667,3.144455,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0.02926,560,560,0,10,840,10.0,840.0,benign,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,123,0.001497,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51502,6667,3.127201,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52068,6667,2.089291,75,243,0,8,507,6.0,563.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53816,123,0.114182,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55850,6667,3.136711,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50804,6667,3.120223,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49564,6667,3.127953,0,0,0,3,180,0.0,0.0,malicious,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,67,60.287607,3000,0,0,10,3280,0.0,0.0,benign,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
123,123,0.001746,48,48,0,1,76,1.0,76.0,benign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41206,80,4.16038,149,103381,5792,75,4309,72.0,101341.0,benign,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51864,6667,2.075814,75,243,0,8,507,6.0,563.0,malicious,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
